Microbiome cohort,Whole serum_GP1,Whole serum_GP2,Whole serum_GP3,Whole serum_GP4,Whole serum_GP5,Whole serum_GP6,Whole serum_GP7,Whole serum_GP8,Whole serum_GP9,Whole serum_GP10,Whole serum_GP11,Whole serum_GP12,Whole serum_GP13,Whole serum_GP14,Whole serum_GP15,Whole serum_GP16,Whole serum_GP17,Whole serum_GP18,Whole serum_GP19,Whole serum_GP20,Whole serum_GP21,Whole serum_GP22,Whole serum_GP23,Whole serum_GP24,Whole serum_GP25,Whole serum_GP26,Whole serum_GP27,Whole serum_GP28,Whole serum_GP29,Whole serum_GP30,Whole serum_GP31,Whole serum_GP32,Whole serum_GP33,Whole serum_GP34,Whole serum_GP35,Whole serum_GP36,Whole serum_GP37,Whole serum_GP38,Whole serum_GP39,Whole serum_GP40,Whole serum_GP41,Whole serum_GP42,Whole serum_GP43,Whole serum_GP44,Whole serum_GP45,Whole serum_GP46,Whole serum_GP47,Whole serum_GP48,Whole serum_GP49,Whole serum_GP50,Whole serum_GP51,Whole serum_GP52,Whole serum_GP53,Whole serum_GP54,Whole serum_GP55,Whole serum_GP56,Whole serum_S0,Whole serum_S1,Whole serum_S2,Whole serum_S3,Whole serum_S4,Whole serum_G0,Whole serum_G1,Whole serum_G2,Whole serum_G3,Whole serum_G4,Whole serum_A1,Whole serum_A2,Whole serum_A3,Whole serum_A4,Whole serum_oligomannose,Whole serum_Core fucose,Whole serum_Outer arm fucose
1,0.0007,0.4996,0.0732,0.0196,0.3174,0.6525,1.4771,1.4256,0.0541,0.8732,1.3843,0.6592,0.8693,1.8533,0.2224,0.8432,0.1035,2.4117,0.5301,0.9436,0.9354,0.1554,7.7562,0.2627,0.9541,4.4573,1.0336,3.0481,3.2471,0.4557,35.2778,1.3764,4.769,2.7859,0.7461,0.4142,0.1722,0.9553,0.639,0.4576,0.2423,3.4925,0.4078,0.3128,2.0953,5.061,0.2127,0.271,0.4576,0.4069,0.2181,0.4502,0.287,0.5163,0.3056,0.1503,14.27,18.69,50.03,13.65,2.33,3.44,6.88,67.81,9.76,8.51,1.64,76.49,9.7629,8.51,4.2,24.78,3.64
1,0.0041,0.0384,0.0373,0.0084,0.0461,0.0955,1.0544,1.7539,0.0693,0.1061,1.5204,0.6357,0.7857,2.13,0.373,0.1315,0.0824,2.3915,0.6719,1.0574,0.88,0.1541,7.3197,0.3814,0.9391,4.8402,1.0536,3.3735,3.9373,0.4263,36.7406,1.3008,4.2421,2.2494,0.937,0.4723,0.1636,1.1063,0.4605,0.7426,0.2972,6.0866,0.3512,0.5039,2.1044,2.7208,0.3418,0.3125,0.307,0.4027,0.3981,0.5679,0.3077,0.3641,0.1432,0.0777,11.9356,19.11,51.41,14.23,2.26,2.12,5.99,68.66,13.06,6.11,0.93,75.84,13.062,6.11,4.18,24.44,3.24
1,0.0041,0.0293,0.0213,0.0053,0.0293,0.074,0.9094,1.5381,0.0591,0.0882,1.9613,0.8817,0.7531,1.9277,0.3918,0.1063,0.0785,3.3168,0.663,0.9191,0.8439,0.1449,7.2547,0.3531,0.8998,5.9272,0.9939,2.9897,4.0296,0.4662,32.5361,1.1323,5.916,2.8053,1.2468,0.4147,0.1836,1.1049,0.4745,0.801,0.32,5.4053,0.4,0.5847,1.7938,3.4602,0.2961,0.3973,0.4433,0.5269,0.4054,0.5051,0.4128,0.374,0.2554,0.144,12.8383,19.52,49.65,14.38,2.62,1.81,6.4,68.14,12.55,7.4,0.87,75.49,12.5457,7.4,3.8,28.75,3.28
1,0.009,0.0345,0.0142,0.0048,0.0381,0.0708,0.5702,1.6216,0.0559,0.0687,1.0139,0.5033,0.5925,2.2492,0.283,0.0951,0.0991,2.4028,0.6419,1.0886,0.855,0.177,7.8267,0.3757,0.8325,5.0511,1.0823,3.5205,4.4381,0.4745,36.2669,1.2216,3.4648,2.0893,1.1156,0.445,0.1718,1.2911,0.4297,0.9607,0.3212,7.4456,0.2641,0.4868,2.1312,2.473,0.3302,0.2849,0.2528,0.4631,0.4745,0.6244,0.3266,0.3148,0.1693,0.0909,10.3686,19.9,50.81,15.38,2.46,1.51,5.05,68.43,14.89,5.98,0.81,74.18,14.891,5.98,4.28,22.41,3.16
1,0.0244,0.017,0.021,0.0061,0.0268,0.0669,0.4889,1.1833,0.0584,0.0793,1.0965,0.3786,0.5553,1.7961,0.3478,0.0973,0.1016,2.2455,0.5571,0.9497,0.7273,0.1451,8.9519,0.2836,0.9451,4.1326,0.8932,2.5745,4.1115,0.4314,36.7197,1.2486,5.0956,2.2364,1.2068,0.469,0.1987,1.3736,0.5943,0.8117,0.2848,6.0382,0.3633,0.6166,2.1804,3.5211,0.3007,0.4455,0.4367,0.5041,0.3998,0.5762,0.3538,0.4125,0.2035,0.1144,9.1479,18.91,52.89,15.59,2.56,1.22,4.77,69.33,13.94,7.47,0.9,74.42,13.9387,7.47,3.4,21.7,3.69
1,0.0047,0.0393,0.0549,0.0131,0.0692,0.1502,0.98,2.0422,0.1038,0.1866,1.7005,0.6003,0.8891,2.5728,0.4506,0.1542,0.1051,2.3943,0.7875,1.2151,0.9586,0.1619,8.3419,0.2484,1.21,5.6415,1.2493,4.5113,3.7022,0.4064,32.9736,1.3331,5.2399,3.5191,0.9571,0.4498,0.1936,1.1046,0.4109,0.6797,0.2923,4.949,0.2082,0.5032,1.5579,1.9043,0.241,0.3169,0.2581,0.3934,0.3412,0.472,0.2667,0.2605,0.1489,0.0801,13.2984,22.48,49.69,11.32,1.96,2.26,6.82,70.08,11.11,4.88,1.21,77.96,11.1127,4.88,4.99,29.2,2.55
1,0.0051,0.0172,0.0199,0.0136,0.0235,0.1088,1.41,1.5691,0.0538,0.1135,1.7647,0.858,0.5865,1.9568,0.3302,0.0968,0.0873,2.6245,0.5883,1.1941,0.9,0.1643,8.7669,0.3539,0.7728,5.0832,1.0336,2.5812,4.4613,0.4332,35.3495,1.2463,5.4791,2.4961,1.1275,0.4479,0.1886,1.1605,0.3634,0.8457,0.3155,6.1845,0.2088,0.6065,1.6588,1.4333,0.2513,0.3673,0.2214,0.4403,0.404,0.5025,0.2757,0.2046,0.1596,0.0893,12.2276,20.01,52.2,12.46,2.08,2.36,6.3,70.11,12.92,4.54,0.76,78.01,12.9191,4.54,3.88,26.14,2.62
1,0.0117,0.0264,0.0682,0.0131,0.1687,0.2233,1.2007,1.5904,0.104,0.2005,1.5663,0.6027,0.6481,1.9454,0.4558,0.1546,0.0842,2.0069,0.5977,1.1688,0.8809,0.1673,8.0916,0.406,1.1235,4.2348,0.9803,3.1009,3.8991,0.4314,34.2216,1.2785,5.1363,3.1184,1.3922,0.4402,0.2055,1.2917,0.5278,0.7987,0.312,5.8414,0.2801,0.642,1.8216,2.9032,0.2856,0.4206,0.3832,0.5843,0.3708,0.5034,0.4021,0.3235,0.2298,0.1322,11.6687,19.38,51.21,14.22,2.55,2.34,6.38,67.47,13.35,6.74,1.25,74.93,13.3477,6.74,3.83,25.07,3.2
1,0.0033,0.019,0.0144,0.008,0.0262,0.1337,0.9222,1.2658,0.0393,0.1273,1.0233,0.501,0.5135,1.8633,0.2115,0.098,0.0773,1.3285,0.4933,0.8652,0.818,0.1393,7.2411,0.2298,0.9123,3.0836,1.0795,2.6212,4.1379,0.445,38.8134,1.2716,4.2686,2.4819,0.8973,0.423,0.168,1.0031,0.6244,0.7765,0.2776,5.7172,0.5668,0.4667,2.4817,5.9662,0.262,0.3493,0.5516,0.3966,0.328,0.49,0.3347,0.4981,0.2264,0.1176,8.6689,16.08,53.74,18.04,2.39,1.73,4.69,67.08,13.23,9.69,0.74,72.76,13.2343,9.69,3.67,19.52,4.11
1,0.0053,0.0167,0.0215,0.0051,0.0281,0.0593,0.8401,1.4084,0.0645,0.0711,1.248,0.5928,0.4781,1.7256,0.3652,0.075,0.1181,2.171,0.525,1.0781,0.7643,0.1536,8.5745,0.3088,0.7847,4.0749,0.8376,2.3862,4.6659,0.5108,36.8031,1.3073,4.14,1.8137,1.4489,0.4365,0.2236,1.2593,0.6639,0.8053,0.3593,5.6017,0.4866,0.4889,1.8188,4.2434,0.358,0.3402,0.4313,0.6219,0.4192,0.5397,0.4978,0.4818,0.2867,0.1646,9.8189,18.35,52.39,15.6,3.01,1.65,5.17,67.93,13.37,8.61,0.83,73.93,13.3692,8.61,3.4,20.72,3.38
1,0.0055,0.0153,0.0206,0.0049,0.0292,0.1272,0.5935,1.4117,0.0719,0.1416,1.2862,0.3721,0.4974,1.7637,0.3516,0.1233,0.1133,2.306,0.475,1.3162,0.7186,0.1746,8.904,0.2867,1.3783,4.9944,1.012,2.3073,3.4353,0.4579,36.0291,1.3908,7.2859,3.6851,0.7311,0.5014,0.1827,1.0514,0.45,0.5486,0.3065,4.1642,0.2887,0.4996,1.7896,2.9702,0.1993,0.3989,0.3649,0.451,0.3203,0.5688,0.335,0.4525,0.2299,0.1092,9.71,20.26,54.57,11.98,2.47,1.47,5.59,72.55,10.33,6.58,1.12,78.48,10.3311,6.58,3.61,26.16,3.23
1,0.0023,0.0099,0.0391,0.0082,0.0276,0.146,0.6997,1.1707,0.0853,0.1169,0.997,0.4261,0.4177,1.5351,0.4058,0.0903,0.1159,1.6879,0.3652,1.1074,0.7325,0.1574,10.1859,0.3734,0.7629,2.6656,0.7897,1.3051,4.495,0.5008,39.3815,1.3861,3.4712,1.717,1.566,0.4395,0.1845,1.8794,0.5103,0.9439,0.2808,8.0175,0.3508,0.6011,2.6331,2.1074,0.3123,0.3857,0.264,0.4638,0.3984,0.5564,0.2775,0.258,0.1269,0.0643,8.3467,17.47,54.84,16.41,2.15,1.49,4.77,68.21,17.22,5.4,0.86,73.6,17.2224,5.4,3.04,16.09,3.67
1,0.0512,0.0233,0.0374,0.0064,0.0585,0.1501,0.973,1.6946,0.0864,0.148,1.3465,0.5113,0.703,2.2562,0.413,0.1535,0.1049,2.4131,0.636,1.2395,0.8424,0.174,8.944,0.3125,1.4468,4.2406,0.9934,3.3031,3.814,0.488,32.956,1.5181,4.4514,3.5354,1.3382,0.4041,0.1995,1.5817,0.3876,0.8978,0.2789,7.1381,0.259,0.6001,2.0499,1.3635,0.3854,0.3979,0.2124,0.5187,0.5048,0.6565,0.3192,0.2366,0.1531,0.0912,11.7664,20.7,50.09,13.97,2.48,2.09,6.14,67.7,14.94,5.04,1.29,74.64,14.9354,5.04,4.23,24.86,3.06
1,0.0041,0.0324,0.0114,0.0092,0.0466,0.1162,0.5434,1.5833,0.0669,0.1385,1.1264,0.5226,0.6378,2.0683,0.3922,0.1509,0.1034,2.3638,0.6914,1.139,0.8871,0.1717,8.6126,0.338,1.2547,5.2811,1.1726,3.7293,3.8361,0.4862,34.7169,1.3659,5.1213,3.2738,0.8823,0.4298,0.2252,1.2804,0.5222,0.7258,0.3387,5.2558,0.3237,0.4264,1.8155,2.6441,0.3459,0.2856,0.2806,0.4127,0.3782,0.5263,0.3062,0.3599,0.1595,0.0799,10.6088,21.64,51.39,12.96,2.22,1.51,5.66,70.79,12,6,1.09,76.87,12.0006,6,4.17,25.8,2.9
1,0.0111,0.0272,0.0265,0.0105,0.0309,0.1462,1.0842,1.7236,0.0731,0.1428,1.3805,0.6122,0.7845,2.0302,0.3466,0.1284,0.1133,1.9683,0.7515,1.1195,0.8519,0.1821,6.8893,0.4357,0.8756,3.9904,1.0866,3.6619,4.134,0.4415,36.0383,1.1778,4.8575,2.2237,1.1462,0.452,0.1915,1.1286,0.5563,0.7942,0.3618,5.5035,0.3797,0.7206,1.8767,3.4858,0.2946,0.4814,0.5193,0.5413,0.4047,0.5745,0.4202,0.4311,0.2473,0.1314,11.3916,18.2,51.6,14.97,2.75,2.17,5.9,67.31,12.92,7.72,0.89,74.49,12.9196,7.72,4.12,24.24,3.56
2,0.0069,0.0304,0.0475,0.0107,0.0557,0.154,1.0384,1.8203,0.0776,0.1535,2.0019,0.728,0.7454,2.0684,0.3058,0.1357,0.0847,2.5395,0.6267,1.1529,0.9536,0.1528,8.9768,0.2588,1.3138,5.1868,1.1736,3.7572,4.0404,0.434,34.5249,1.2642,5.3216,3.3905,0.9213,0.411,0.1927,0.9075,0.4378,0.6102,0.2735,4.2435,0.2872,0.3346,1.4776,2.787,0.2128,0.2371,0.2479,0.3836,0.2639,0.3916,0.2879,0.2999,0.1669,0.0918,12.6311,21.95,51.22,11.15,1.89,2.2,6.92,71.27,9.9,5.56,1.11,79.27,9.9042,5.56,4.27,27.96,2.44
2,0.0106,0.0273,0.058,0.0116,0.0485,0.2234,1.2738,1.6725,0.0928,0.219,1.8341,0.7946,0.8158,2.0221,0.3636,0.159,0.111,2.191,0.6718,1.1882,0.948,0.1704,7.1663,0.3042,1.1727,4.1006,1.0589,3.5917,3.4069,0.4995,33.4302,1.3502,5.5234,3.4077,1.0639,0.4317,0.2085,0.934,0.7563,0.642,0.2528,3.0981,0.5353,0.4739,1.6736,5.8277,0.2472,0.4365,0.8406,0.5642,0.2025,0.3805,0.4853,0.4877,0.3242,0.2145,12.6005,18.85,50.05,14.78,2.66,2.44,6.99,66.57,9.86,10.22,1.12,74.89,9.8616,10.22,4.06,27.03,3.82
2,0.024,0.0205,0.0153,0.0105,0.0266,0.2278,0.841,1.5542,0.052,0.2116,1.4448,0.5694,0.7523,1.7943,0.3685,0.1704,0.0927,2.467,0.6847,1.4146,0.8952,0.1937,9.4287,0.3551,1.7031,5.2646,1.0746,3.4712,3.8885,0.4297,28.5733,1.4514,6.9471,4.5521,1.3645,0.4647,0.2333,1.3439,0.5763,0.9108,0.3151,5.2381,0.2628,0.7489,1.3671,2.605,0.3583,0.4341,0.4547,0.4875,0.4097,0.4961,0.3436,0.324,0.1869,0.1039,11.3276,22.96,49.02,13.27,2.35,1.92,6.69,68.72,12.59,6.44,1.27,76.06,12.5922,6.44,3.76,29.85,2.78
2,0.0037,0.0105,0.0258,0.0046,0.0131,0.1114,0.7629,0.9723,0.0461,0.1066,1.0464,0.414,0.4141,1.3638,0.2678,0.0698,0.0943,1.4707,0.3301,0.8513,0.7003,0.109,7.7097,0.3072,0.8989,2.7187,0.7455,1.3511,3.3719,0.3919,39.3173,1.2775,4.958,2.1498,0.9319,0.4259,0.167,1.3669,0.9499,0.6002,0.2476,4.5073,0.5595,0.5511,3.2078,7.59,0.2868,0.5669,0.8824,0.5103,0.213,0.5614,0.2976,0.6286,0.3764,0.1855,7.528,14.81,54.19,19.95,2.77,1.41,4.38,66.01,13.35,12.27,0.78,71.01,13.3481,12.27,2.7,17.68,5.66
2,0.0077,0.0271,0.027,0.008,0.0448,0.1045,0.919,1.9732,0.0633,0.1204,1.2236,0.6587,0.7132,2.4091,0.3822,0.1399,0.0865,2.3094,0.7717,1.1991,0.9583,0.1629,8.1823,0.3406,1.0558,5.0929,1.282,3.8053,3.7586,0.4508,36.7619,1.332,4.5978,2.5926,1.0058,0.4195,0.173,1.1474,0.4211,0.6122,0.2695,4.8692,0.2414,0.5157,1.746,2.1736,0.2151,0.3588,0.2875,0.4185,0.2952,0.4657,0.2776,0.2889,0.1566,0.0795,11.9893,20.97,52.07,11.71,1.98,2.08,5.95,70.85,11.25,5.19,0.98,77.91,11.2478,5.19,4.79,25.54,2.84
2,0.0105,0.023,0.0088,0.0054,0.0283,0.1182,0.6283,1.4406,0.0518,0.0962,1.1693,0.4022,0.5096,1.8761,0.3524,0.1072,0.0954,2.3221,0.5568,1.1061,0.7466,0.1706,8.7323,0.3683,1.0883,4.5691,0.9467,2.3726,4.5044,0.4684,34.6937,1.3339,5.1799,2.6367,1.3713,0.4133,0.2088,1.5074,0.4894,1.0135,0.3367,7.2298,0.227,0.6642,2.0031,2.3979,0.3704,0.3937,0.317,0.439,0.4661,0.5671,0.3202,0.3027,0.1432,0.0987,9.8022,19.36,52.11,15.44,2.34,1.51,5.1,68.57,15.26,6.02,0.94,74.24,15.2557,6.02,3.66,22.87,3.19
2,0.0166,0.0667,0.0157,0.0104,0.083,0.1048,0.879,2.0274,0.0636,0.116,1.2424,0.5309,0.8343,2.9976,0.3223,0.1341,0.1328,1.9999,0.8292,1.0874,1.1406,0.1939,7.8769,0.3,1.1727,6.553,1.3025,4.5151,3.7712,0.4498,31.1136,1.163,5.7345,3.7583,1.0025,0.3889,0.2087,1.2542,0.427,0.7975,0.2816,5.5911,0.2981,0.5512,1.6291,2.1489,0.2813,0.3605,0.3136,0.3538,0.3787,0.4723,0.2528,0.2618,0.1267,0.0806,12.4067,23.05,48.64,12.68,1.93,2.11,6.17,68.95,12.22,5.24,1.13,76.1,12.2212,5.24,5.51,29.98,2.71
2,0.0025,0.0369,0.043,0.0141,0.0422,0.3193,1.0006,1.4043,0.0736,0.2489,1.544,0.7051,0.701,1.8057,0.3697,0.1912,0.0894,2.4825,0.6822,1.3277,1.0184,0.1839,10.1674,0.3138,1.5911,5.6359,1.1111,3.4404,3.2039,0.4329,29.4922,1.2188,6.1141,4.4904,1.2109,0.3467,0.2004,1.7177,0.3493,0.896,0.2299,7.098,0.2303,0.5719,2.1039,1.3532,0.2349,0.334,0.192,0.2889,0.2907,0.4042,0.1772,0.1623,0.0631,0.0462,11.7562,23.88,48.23,13.59,1.43,2.12,6.91,68.85,14.75,3.75,1.27,76.61,14.7546,3.75,3.75,29.48,2.87
3,0.0096,0.0242,0.0252,0.0128,0.0376,0.1088,1.3618,1.9159,0.0692,0.1298,2.0441,0.768,1.0139,2.3705,0.4745,0.1357,0.1108,3.2949,0.9081,1.1628,1.0309,0.167,7.7262,0.4483,0.9217,4.9554,1.1786,3.3623,4.0109,0.4644,36.9743,1.3434,3.437,2.2573,0.8504,0.4303,0.2015,1.1458,0.4661,0.6086,0.2681,4.4891,0.3111,0.3775,1.522,2.37,0.2558,0.2497,0.259,0.3841,0.3097,0.4597,0.2653,0.3085,0.1392,0.0728,14.8154,19.98,50.91,11.18,1.94,2.5,7.23,70.02,10.47,5.28,0.97,78.77,10.469,5.28,4.64,26.16,2.48
3,0.0615,0.0205,0.0275,0.0081,0.0463,0.1859,0.8174,1.4472,0.0702,0.1712,1.5613,0.5854,0.6924,1.837,0.3889,0.1381,0.0987,2.4168,0.5915,1.1897,0.8447,0.1642,8.4495,0.3944,1.2799,4.0801,0.8815,2.8208,3.3001,0.4269,34.5955,1.2928,5.8165,3.2016,1.2386,0.3765,0.1888,1.5514,0.5573,0.764,0.2229,5.7583,0.2506,0.7325,2.3407,3.0657,0.1812,0.5377,0.4412,0.4557,0.2303,0.4089,0.2666,0.2895,0.1564,0.0809,11.1659,19.4121,51.7999,14.8521,1.8883,1.8445,6.2585,68.359,13.7928,6.3029,1.1591,75.3029,13.7928,6.3029,3.5613,25.2798,3.7682
3,0.007,0.0209,0.0314,0.0005,0.0897,0.1989,1.3985,1.6895,0.0857,0.1745,1.8258,0.9227,0.7396,2.1041,0.3507,0.153,0.0847,2.6115,0.657,1.2233,0.8625,0.146,9.3737,0.2449,1.1094,5.0511,1.0534,3.259,3.7164,0.3975,32.6196,1.1015,5.4435,3.4335,0.9823,0.3597,0.1828,1.2603,0.3748,0.8063,0.2647,6.0638,0.2615,0.5644,1.8289,1.8603,0.2655,0.3595,0.2626,0.3844,0.4318,0.5623,0.2775,0.2732,0.1209,0.0715,13.1457,21.45,49.31,12.91,2.12,2.5,6.88,68.79,12.77,5.05,1.05,77.13,12.7667,5.05,4.11,28.02,2.86
3,0.0046,0.0355,0.0219,0.0115,0.053,0.1707,1.1344,1.9152,0.0683,0.1676,1.4638,0.6007,0.8557,2.2742,0.3109,0.1481,0.0893,2.3157,0.782,1.2268,0.9312,0.146,8.2537,0.2273,1.1829,5.2478,1.2952,4.0324,4.1382,0.3873,34.523,1.2039,4.6322,2.9895,0.9617,0.4089,0.1983,1.106,0.3072,0.8432,0.3004,6.6704,0.2718,0.6485,1.7423,0.7614,0.3214,0.3284,0.1706,0.3866,0.479,0.6154,0.2593,0.1798,0.1238,0.0751,12.4231,21.45,50.35,12.37,2.12,2.34,6.35,69.63,13.26,3.9,1.02,77.29,13.2604,3.9,4.65,26.96,2.56
3,0.0051,0.0254,0.0292,0.011,0.0327,0.2207,0.9264,1.3021,0.061,0.1688,1.5044,0.6268,0.5441,1.5037,0.368,0.1368,0.0922,2.3237,0.4887,1.1853,0.7618,0.1465,9.2719,0.2825,1.5926,4.1676,0.7224,2.4629,4.1016,0.4038,30.7191,1.2383,5.5314,4.0968,1.543,0.3344,0.2047,1.5849,0.4701,1.1664,0.2828,7.9301,0.3824,0.6835,2.0091,2.5852,0.3811,0.4206,0.3174,0.5222,0.5464,0.6243,0.3621,0.2887,0.1892,0.1163,10.3708,20.08,49.55,16.63,2.65,1.87,6.1,66.21,16.39,6.56,1.23,72.95,16.3867,6.56,2.99,25.19,3.25
4,0.0069,0.039,0.0236,0.0125,0.0509,0.1817,1.3693,2.1048,0.0702,0.1552,1.8453,0.7772,0.9499,2.493,0.38,0.1569,0.1202,2.6834,0.84,1.2429,1.1641,0.2373,7.6573,0.3833,1.2649,5.9161,1.1801,4.2627,3.5432,0.48,31.7588,1.1753,5.0736,3.5111,0.8918,0.497,0.1762,1.2508,0.3129,0.8323,0.2793,6.2601,0.2209,0.5568,1.7635,1.1697,0.2455,0.3319,0.1852,0.3751,0.4008,0.5314,0.2393,0.1935,0.1085,0.0666,14.26,22.3,48.18,12.16,1.92,2.69,7.44,68.26,12.87,4.02,1.13,77.25,12.8654,4.02,4.88,30.45,2.59
4,0.0032,0.0263,0.0164,0.0067,0.0359,0.1602,0.7686,1.3504,0.0561,0.1586,1.0735,0.5376,0.6341,1.8676,0.2812,0.1344,0.0896,1.7439,0.6048,1.0516,0.9217,0.1558,7.8527,0.2756,1.222,4.0974,1.126,3.3043,3.2784,0.4295,33.838,1.0983,6.1284,3.4596,1.247,0.3867,0.212,1.3913,0.4971,0.8543,0.2671,6.878,0.2972,0.7704,2.4882,3.6171,0.2179,0.5292,0.442,0.5187,0.2712,0.4505,0.3131,0.288,0.1765,0.0984,9.5491,19.09,51.26,16.86,2.12,1.66,5.47,67,15.08,7.13,0.98,73.14,15.0773,7.13,3.78,25.1,3.93
4,0.0152,0.0322,0.0251,0.0124,0.0207,0.1785,1.0988,1.3968,0.0638,0.1861,1.4373,0.7005,0.6959,1.8437,0.3768,0.1591,0.1445,2.257,0.6486,1.1777,0.8646,0.2164,8.3688,0.5014,1.3101,4.3041,0.9169,2.9464,3.4179,0.5149,36.1563,1.1972,6.4988,3.8036,0.7704,0.4912,0.1945,1.2844,0.3872,0.6841,0.2729,5.1132,0.2525,0.7067,1.9539,1.5451,0.2162,0.4596,0.2806,0.373,0.3097,0.5202,0.2506,0.2586,0.1223,0.0648,11.293,19.88,54.13,11.87,1.9,2.06,6.35,71.62,11.92,4.6,1.14,78.88,11.9165,4.6,3.64,27.09,3.08
4,0.0123,0.0621,0.0372,0.012,0.0142,0.1993,1.2059,1.3026,0.058,0.1944,1.3594,0.6972,0.7172,1.7508,0.3695,0.1664,0.1281,2.0589,0.5995,1.1506,0.789,0.1745,8.952,0.3431,1.2539,3.8945,0.8529,2.7184,3.3479,0.4571,35.3769,1.2045,5.9142,3.6602,1.0442,0.4073,0.2171,1.5655,0.434,0.7749,0.2606,5.9266,0.2691,0.7408,2.3094,1.7936,0.2696,0.5028,0.3105,0.4507,0.3544,0.5496,0.2837,0.2904,0.1395,0.071,10.945,19.49,52.98,13.59,2.14,2.18,6.09,69.51,13.73,5.23,1.12,76.66,13.7324,5.23,3.45,25.42,3.55
4,0.0104,0.0203,0.012,0.008,0.0314,0.1308,0.6217,1.5551,0.0494,0.1319,1.2062,0.4855,0.6512,2.199,0.339,0.1227,0.0916,2.22,0.6013,1.3706,0.8421,0.1754,8.8593,0.387,1.2308,4.6997,1.0731,3.1033,4.7177,0.4452,33.9999,1.2119,5.01,3.3088,1.3261,0.4171,0.2003,1.3659,0.3578,1.0131,0.3069,6.9478,0.1825,0.6975,1.6104,1.4479,0.3452,0.367,0.2457,0.431,0.5157,0.5613,0.2898,0.2029,0.1533,0.0924,10.4875,20.87,51.8,13.52,2.25,1.58,5.82,69.47,14.23,4.85,1,75.87,14.2251,4.85,4.16,24.61,2.6
4,0.0052,0.0178,0.0174,0.0115,0.0285,0.1095,1.2199,1.4655,0.0438,0.1274,1.6127,0.8441,0.6574,1.8538,0.3281,0.1154,0.0831,2.389,0.6421,1.1168,0.8649,0.1456,8.1396,0.314,1.0431,4.5815,0.8786,3.2038,4.4472,0.447,35.901,1.2207,5.1855,2.922,1.152,0.3998,0.1835,1.0573,0.4599,0.7744,0.3056,5.1889,0.3258,0.5265,1.592,2.8988,0.2297,0.3366,0.3659,0.4246,0.365,0.4661,0.3433,0.3215,0.1971,0.1024,11.5722,19.59,52.73,13,2.22,2.11,6.21,70.19,11.78,6.23,0.88,77.64,11.7822,6.23,3.57,25.76,2.82
4,0.0094,0.0171,0.0087,0.0052,0.0148,0.0834,0.6557,1.245,0.0531,0.0929,1.3482,0.6412,0.5402,1.7209,0.3234,0.0969,0.11,2.3797,0.5748,1.0029,0.8096,0.163,8.5927,0.3604,0.913,4.2096,0.881,2.3795,4.3783,0.4593,39.9751,1.3096,4.5744,2.4892,0.9006,0.4239,0.2108,1.3477,0.4459,0.7247,0.2811,5.7696,0.2856,0.4887,2.0374,1.7971,0.2403,0.3349,0.2369,0.4316,0.3566,0.5341,0.2731,0.2727,0.1248,0.0636,9.9206,18.64,55.86,12.64,2.06,1.4,5.39,72.4,12.71,4.88,0.83,78.36,12.7052,4.88,3.35,22.07,3.01
4,0.0231,0.0138,0.0184,0.0057,0.0399,0.0726,0.4554,1.1486,0.0676,0.0807,1.0845,0.3643,0.5329,1.7734,0.376,0.1008,0.1025,2.2523,0.5675,0.9777,0.7199,0.1562,9.1019,0.3503,0.9715,4.1802,0.8821,2.6419,4.0569,0.4618,36.6733,1.294,5.1367,2.2439,1.2495,0.424,0.2105,1.4495,0.624,0.7938,0.2971,5.8995,0.3394,0.6261,2.1117,3.459,0.2932,0.4476,0.4336,0.4997,0.3627,0.5426,0.3288,0.3808,0.1933,0.1055,9.08,19.31,52.99,15.33,2.41,1.16,4.8,69.74,13.81,7.26,0.94,74.76,13.8146,7.26,3.35,21.79,3.58
4,0.0062,0.021,0.0193,0.01,0.0322,0.1272,0.9275,1.4791,0.0701,0.1286,1.4985,0.7607,0.5778,1.8129,0.3781,0.1123,0.11,2.4572,0.5426,1.1487,0.8579,0.1665,9.1257,0.3017,0.9895,4.3688,0.8338,2.5087,3.6628,0.4884,36.9346,1.506,4.356,2.7119,1.0176,0.4734,0.2208,1.5098,0.5834,0.7027,0.3181,5.7138,0.3062,0.504,2.0843,2.3461,0.3268,0.3434,0.2852,0.4857,0.359,0.5505,0.2915,0.3235,0.1558,0.0664,11.0713,19.69,52.66,13.51,2.23,1.85,6.03,69.76,13.21,5.75,0.94,76.7,13.2133,5.75,3.52,23.21,3.18
4,0.0185,0.0411,0.0164,0.0038,0.1145,0.1042,1.1454,1.9495,0.0768,0.1004,1.9051,0.7795,0.8465,2.4264,0.3226,0.11,0.1069,2.5709,0.7581,1.1802,0.9234,0.1557,7.7833,0.2925,0.867,5.2014,1.1929,3.8336,4.3154,0.4598,33.0417,1.332,4.4362,2.404,1.1594,0.4902,0.2365,1.1405,0.4925,0.8043,0.4003,5.4523,0.3856,0.6115,1.4916,2.5421,0.3446,0.3892,0.3945,0.5374,0.5146,0.6052,0.4111,0.3714,0.2657,0.1434,13.3966,20.47,48.78,13.31,2.85,2.3,6.78,67.13,12.43,6.76,0.97,75.25,12.4282,6.76,4.74,26.84,2.92
